country,continent,lifeexp,pop,gdppercap
Myanmar,Asia,57.057499,33104264.5,378
Namibia,Africa,53.386497,1038018,3799.1165
Nepal,Asia,48.171001,14864756,706.2428
Netherlands,Europe,75.645004,14081695,21304.26
New Zealand,Oceania,73.029999,3187775,16933.064
Nicaragua,Americas,58.384003,2767010.5,3284.8901
Niger,Africa,41.9445,6059637,785.38824
Nigeria,Africa,45.169998,67624274.5,1596.1301
Norway,Europe,75.630005,4078996,24804.992
Oman,Asia,60.047501,1152790.5,12401.567
Pakistan,Asia,55.100502,84807387,1309.6755
Panama,Americas,69.5765,1938043.5,5991.4961
Paraguay,Americas,66.613495,3175466.5,3516.0239
Peru,Americas,59.926498,17057614,5873.6836
Philippines,Asia,61.070999,50153868,2234.4795
Poland,Europe,70.915001,35424317.5,8229.0195
Portugal,Europe,71.589996,9761125,10963.164
Puerto Rico,Americas,73.595001,3179914.5,10050.758
Reunion,Africa,68.474503,504952.5,5157.439
Romania,Europe,69.410004,21967326.5,7615.9536
Rwanda,Africa,43.716499,5082318.5,633.77686
Sao Tome and Principe,Africa,59.4505,92694.5,1406.8092
Saudi Arabia,Asia,60.850998,9691588.5,20892.477
Senegal,Africa,50.629002,5704319,1540.7021
Serbia,Europe,70.231003,8859595.5,8658.3877
Sierra Leone,Africa,37.560501,3302709.5,1092.6681
Singapore,Asia,71.277496,2488584.5,13189.625
Slovak Republic,Europe,70.889999,4937923,10298.416
Slovenia,Europe,71.016502,1804085.5,14745.873
Somalia,Africa,41.473499,5091279,1156.2784
South Africa,Africa,53.530502,29134980.5,7595.0674
Spain,Europe,75.345001,37211155,13581.545
Sri Lanka,Asia,67.352997,14763493.5,1498.4277
Sudan,Africa,49.069,18736019.5,1729.1674
Swaziland,Africa,48.092499,600663,3667.2166
Sweden,Europe,75.93,8288454,19761.553
Switzerland,Europe,75.800003,6434763,27796.414
Syria,Asia,62.892498,8671498.5,3156.1294
Taiwan,Asia,71.375,17643293,6511.4375
Tanzania,Africa,49.058502,18486973.5,840.02039
Thailand,Asia,63.545502,46487722.5,2177.2222
Togo,Africa,54.179001,2476673.5,1050.9169
Trinidad and Tobago,Americas,68.566002,1047808.5,7379.7939
Tunisia,Africa,61.942497,6369579.5,3340.5549
Turkey,Europe,60.2715,44866412,4255.2393
Uganda,Africa,48.438,12198579,795.46509
United Kingdom,Europe,73.400002,56259352,17830.586
United States,Americas,74.014999,226213417.5,24541.096
Uruguay,Americas,70.143005,2913758.5,6712.2813
Venezuela,Americas,68.0065,14562164.5,10024.54
Vietnam,Asia,57.290001,53337843.5,742.79309
West Bank and Gaza,Asia,62.585499,1343483.5,3408.1204
"Yemen, Rep.",Asia,46.643997,9030804,1854.6309
Zambia,Africa,46.061501,5658478.5,1291.5842
Zimbabwe,Africa,53.176498,7139315.5,678.81317
